" ";j2,j4,j6,j8,j10,j12,j14,j16,j18,j20,j22,j24,j26,g2,g4,g6,g8,g10,g12,g14,g16,g18,g20,g22,g24,g26,f2,f4,f6,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,a2,a4,a6,a8,a10,a12,a14,a16,a18,a20,a22,a24,a26,s2,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,n2,n4,n6,n8,n10,n12,n14,n16,n18,n20,n22,n24,n26
j2;0,0.141,0.141,0.200,0.141,0.141,0.141,0.245,0.245,0.200,0.245,0.245,0.283,1.131,1.140,0.990,1.000,1.208,1.068,1.068,1.086,0.927,1.149,1.158,1.010,1.020,0.566,0.510,0.510,0.447,0.648,0.648,0.583,0.548,0.548,0.721,0.678,0.678,0.632,0.980,1.030,0.860,0.917,1.030,0.860,0.906,0.970,0.787,0.917,0.970,0.787,0.849,0.800,0.906,0.707,0.825,0.906,0.707,0.812,0.927,0.735,0.825,0.927,0.735,0.849,0.566,0.583,0.424,0.447,0.648,0.510,0.510,0.548,0.374,0.600,0.616,0.469,0.490
j4;0,0,0.200,0.141,0.141,0.245,0.141,0.141,0.245,0.245,0.200,0.283,0.245,1.140,1.131,1.000,0.990,1.208,1.086,1.068,1.068,0.927,1.158,1.149,1.020,1.010,0.648,0.566,0.600,0.510,0.707,0.735,0.648,0.583,0.616,0.787,0.721,0.748,0.678,0.949,0.980,0.825,0.860,0.990,0.837,0.860,0.906,0.735,0.883,0.917,0.748,0.787,0.707,0.800,0.600,0.707,0.812,0.616,0.707,0.812,0.616,0.735,0.825,0.632,0.735,0.583,0.566,0.447,0.424,0.648,0.548,0.510,0.510,0.374,0.616,0.600,0.490,0.469
j6;0,0,0,0.141,0.245,0.141,0.141,0.245,0.141,0.245,0.283,0.200,0.245,1.273,1.281,1.131,1.140,1.349,1.208,1.208,1.225,1.068,1.288,1.296,1.149,1.158,0.648,0.600,0.566,0.510,0.735,0.707,0.648,0.616,0.583,0.787,0.748,0.721,0.678,1.105,1.149,0.980,1.030,1.158,0.990,1.030,1.086,0.906,1.049,1.095,0.917,0.970,0.906,1.000,0.800,0.906,1.010,0.812,0.906,1.010,0.812,0.927,1.020,0.825,0.927,0.707,0.721,0.566,0.583,0.787,0.648,0.648,0.678,0.510,0.735,0.748,0.600,0.616
j8;0,0,0,0,0.245,0.245,0.141,0.141,0.141,0.283,0.245,0.245,0.200,1.281,1.273,1.140,1.131,1.349,1.225,1.208,1.208,1.068,1.296,1.288,1.158,1.149,0.721,0.648,0.648,0.566,0.787,0.787,0.707,0.648,0.648,0.849,0.787,0.787,0.721,1.077,1.105,0.949,0.980,1.122,0.970,0.990,1.030,0.860,1.020,1.049,0.883,0.917,0.825,0.906,0.707,0.800,0.927,0.735,0.812,0.906,0.707,0.849,0.927,0.735,0.825,0.721,0.707,0.583,0.566,0.787,0.678,0.648,0.648,0.510,0.748,0.735,0.616,0.600
j10;0,0,0,0,0,0.200,0.141,0.200,0.283,0.141,0.141,0.245,0.245,1.068,1.068,0.927,0.927,1.131,1.000,0.990,1.000,0.849,1.068,1.068,0.927,0.927,0.510,0.424,0.469,0.374,0.566,0.600,0.510,0.447,0.490,0.648,0.583,0.616,0.548,0.949,0.990,0.837,0.883,0.980,0.825,0.860,0.917,0.748,0.860,0.906,0.735,0.787,0.707,0.812,0.616,0.735,0.800,0.600,0.707,0.825,0.632,0.707,0.812,0.616,0.735,0.510,0.510,0.374,0.374,0.566,0.447,0.424,0.447,0.283,0.510,0.510,0.374,0.374
j12;0,0,0,0,0,0,0.141,0.283,0.200,0.141,0.245,0.141,0.245,1.208,1.225,1.068,1.086,1.281,1.131,1.140,1.166,1.000,1.208,1.225,1.068,1.086,0.510,0.469,0.424,0.374,0.600,0.566,0.510,0.490,0.447,0.648,0.616,0.583,0.548,1.105,1.158,0.990,1.049,1.149,0.980,1.030,1.095,0.917,1.030,1.086,0.906,0.970,0.906,1.010,0.812,0.927,1.000,0.800,0.906,1.020,0.825,0.906,1.010,0.812,0.927,0.648,0.678,0.510,0.548,0.721,0.566,0.583,0.632,0.447,0.648,0.678,0.510,0.548
j14;0,0,0,0,0,0,0,0.141,0.141,0.141,0.141,0.141,0.141,1.208,1.208,1.068,1.068,1.273,1.140,1.131,1.140,0.990,1.208,1.208,1.068,1.068,0.583,0.510,0.510,0.424,0.648,0.648,0.566,0.510,0.510,0.707,0.648,0.648,0.583,1.068,1.105,0.949,0.990,1.105,0.949,0.980,1.030,0.860,0.990,1.030,0.860,0.906,0.812,0.906,0.707,0.812,0.906,0.707,0.800,0.906,0.707,0.812,0.906,0.707,0.812,0.648,0.648,0.510,0.510,0.707,0.583,0.566,0.583,0.424,0.648,0.648,0.510,0.510
j16;0,0,0,0,0,0,0,0,0.200,0.245,0.141,0.245,0.141,1.225,1.208,1.086,1.068,1.281,1.166,1.140,1.131,1.000,1.225,1.208,1.086,1.068,0.678,0.583,0.616,0.510,0.721,0.748,0.648,0.566,0.600,0.787,0.707,0.735,0.648,1.049,1.068,0.927,0.949,1.077,0.938,0.949,0.980,0.825,0.970,0.990,0.837,0.860,0.735,0.812,0.616,0.707,0.825,0.632,0.707,0.800,0.600,0.735,0.812,0.616,0.707,0.678,0.648,0.548,0.510,0.721,0.632,0.583,0.566,0.447,0.678,0.648,0.548,0.510
j18;0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,1.349,1.349,1.208,1.208,1.414,1.281,1.273,1.281,1.131,1.349,1.349,1.208,1.208,0.678,0.616,0.583,0.510,0.748,0.721,0.648,0.600,0.566,0.787,0.735,0.707,0.648,1.192,1.225,1.068,1.105,1.233,1.077,1.105,1.149,0.980,1.122,1.158,0.990,1.030,0.927,1.010,0.812,0.906,1.020,0.825,0.906,1.000,0.800,0.927,1.010,0.812,0.906,0.787,0.787,0.648,0.648,0.849,0.721,0.707,0.721,0.566,0.787,0.787,0.648,0.648
j20;0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,1.149,1.158,1.010,1.020,1.208,1.068,1.068,1.086,0.927,1.131,1.140,0.990,1.000,0.447,0.374,0.374,0.283,0.510,0.510,0.424,0.374,0.374,0.566,0.510,0.510,0.447,1.077,1.122,0.970,1.020,1.105,0.949,0.990,1.049,0.883,0.980,1.030,0.860,0.917,0.825,0.927,0.735,0.849,0.906,0.707,0.812,0.927,0.735,0.800,0.906,0.707,0.825,0.600,0.616,0.469,0.490,0.648,0.510,0.510,0.548,0.374,0.566,0.583,0.424,0.447
