" ";﻿j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12
﻿j1;0;0.1;0.17;0.1;0;0.1;0;0.1;0.14;0;0.1;0;0.41;0.4;0.45;0.41;0.5;0.51;0.5;0.46;0.41;0.5;0.5;0.41;1;1.01;1.16;1.08;0.82;0.73;0.83;0.92;0.73;0.83;0.85;1;0.81;0.9;0.9;0.92;0.83;0.92;1.08;0.92;0.92;1.14;1.14;1.14;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
j2;0;0;0.14;0.14;0.1;0.14;0.1;0.14;0.1;0.1;0.14;0.1;0.42;0.41;0.46;0.42;0.57;0.57;0.57;0.45;0.42;0.57;0.57;0.42;1.07;1.08;1.22;1.15;0.83;0.73;0.82;0.93;0.73;0.82;0.83;1.07;0.9;0.99;0.99;1;0.92;1;1.15;1;1;1.2;1.21;1.21;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
j3;0;0;0;0.24;0.17;0.14;0.17;0.14;0.1;0.17;0.24;0.17;0.51;0.52;0.52;0.51;0.65;0.64;0.65;0.51;0.51;0.65;0.65;0.51;1.14;1.14;1.28;1.21;0.91;0.81;0.91;1.01;0.81;0.91;0.91;1.14;0.94;1.03;1.03;1.03;0.95;1.03;1.24;1.03;1.03;1.3;1.3;1.3;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
j4;0;0;0;0;0.1;0.2;0.1;0.2;0.22;0.1;0;0.1;0.32;0.3;0.36;0.32;0.42;0.44;0.42;0.37;0.32;0.42;0.42;0.32;0.93;0.94;1.08;1.01;0.73;0.63;0.73;0.82;0.64;0.73;0.75;0.93;0.77;0.86;0.86;0.88;0.79;0.88;1.04;0.88;0.88;1.1;1.1;1.1;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52
j5;0;0;0;0;0;0.1;0;0.1;0.14;0;0.1;0;0.41;0.4;0.45;0.41;0.5;0.51;0.5;0.46;0.41;0.5;0.5;0.41;1;1.01;1.16;1.08;0.82;0.73;0.83;0.92;0.73;0.83;0.85;1;0.81;0.9;0.9;0.92;0.83;0.92;1.08;0.92;0.92;1.14;1.14;1.14;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
j6;0;0;0;0;0;0;0.1;0;0.1;0.1;0.2;0.1;0.51;0.5;0.54;0.51;0.58;0.59;0.58;0.55;0.51;0.58;0.58;0.51;1.09;1.08;1.24;1.16;0.92;0.82;0.93;1.02;0.83;0.93;0.94;1.09;0.87;0.95;0.95;0.96;0.88;0.96;1.12;0.96;0.96;1.17;1.17;1.17;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66
j7;0;0;0;0;0;0;0;0.1;0.14;0;0.1;0;0.41;0.4;0.45;0.41;0.5;0.51;0.5;0.46;0.41;0.5;0.5;0.41;1;1.01;1.16;1.08;0.82;0.73;0.83;0.92;0.73;0.83;0.85;1;0.81;0.9;0.9;0.92;0.83;0.92;1.08;0.92;0.92;1.14;1.14;1.14;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
j8;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.1;0.51;0.5;0.54;0.51;0.58;0.59;0.58;0.55;0.51;0.58;0.58;0.51;1.09;1.08;1.24;1.16;0.92;0.82;0.93;1.02;0.83;0.93;0.94;1.09;0.87;0.95;0.95;0.96;0.88;0.96;1.12;0.96;0.96;1.17;1.17;1.17;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66
j9;0;0;0;0;0;0;0;0;0;0.14;0.22;0.14;0.52;0.51;0.55;0.52;0.64;0.65;0.64;0.54;0.52;0.64;0.64;0.52;1.14;1.15;1.3;1.22;0.93;0.83;0.92;1.02;0.82;0.92;0.93;1.14;0.95;1.03;1.03;1.05;0.96;1.05;1.19;1.05;1.05;1.24;1.24;1.24;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
j10;0;0;0;0;0;0;0;0;0;0;0.1;0;0.41;0.4;0.45;0.41;0.5;0.51;0.5;0.46;0.41;0.5;0.5;0.41;1;1.01;1.16;1.08;0.82;0.73;0.83;0.92;0.73;0.83;0.85;1;0.81;0.9;0.9;0.92;0.83;0.92;1.08;0.92;0.92;1.14;1.14;1.14;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
j11;0;0;0;0;0;0;0;0;0;0;0;0.1;0.32;0.3;0.36;0.32;0.42;0.44;0.42;0.37;0.32;0.42;0.42;0.32;0.93;0.94;1.08;1.01;0.73;0.63;0.73;0.82;0.64;0.73;0.75;0.93;0.77;0.86;0.86;0.88;0.79;0.88;1.04;0.88;0.88;1.1;1.1;1.1;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52
j12;0;0;0;0;0;0;0;0;0;0;0;0;0.41;0.4;0.45;0.41;0.5;0.51;0.5;0.46;0.41;0.5;0.5;0.41;1;1.01;1.16;1.08;0.82;0.73;0.83;0.92;0.73;0.83;0.85;1;0.81;0.9;0.9;0.92;0.83;0.92;1.08;0.92;0.92;1.14;1.14;1.14;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0.32;0.3;0.32;0.14;0;0.32;0.32;0;0.72;0.77;0.87;0.81;0.41;0.32;0.42;0.51;0.33;0.42;0.46;0.72;0.7;0.8;0.8;0.81;0.71;0.81;1.06;0.81;0.81;1.14;1.13;1.13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.1;0.3;0.32;0.3;0.22;0.1;0.3;0.3;0.1;0.73;0.79;0.88;0.83;0.45;0.36;0.46;0.54;0.37;0.46;0.49;0.73;0.71;0.81;0.81;0.82;0.73;0.82;1;0.82;0.82;1.06;1.06;1.06;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42
g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.36;0.32;0.36;0.1;0.1;0.36;0.36;0.1;0.73;0.76;0.86;0.81;0.4;0.3;0.41;0.5;0.32;0.41;0.45;0.73;0.71;0.81;0.81;0.8;0.7;0.8;1.13;0.8;0.8;1.22;1.2;1.2;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58
g4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32;0.3;0.32;0.14;0;0.32;0.32;0;0.72;0.77;0.87;0.81;0.41;0.32;0.42;0.51;0.33;0.42;0.46;0.72;0.7;0.8;0.8;0.81;0.71;0.81;1.06;0.81;0.81;1.14;1.13;1.13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
g5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.45;0.32;0;0;0.32;0.51;0.54;0.67;0.6;0.54;0.47;0.6;0.62;0.54;0.6;0.67;0.51;0.41;0.51;0.51;0.54;0.45;0.54;0.78;0.54;0.54;0.89;0.86;0.86;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
g6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.41;0.3;0.1;0.1;0.3;0.5;0.51;0.65;0.57;0.51;0.44;0.57;0.59;0.51;0.57;0.65;0.5;0.4;0.5;0.5;0.51;0.41;0.51;0.86;0.51;0.51;0.98;0.94;0.94;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
g7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45;0.32;0;0;0.32;0.51;0.54;0.67;0.6;0.54;0.47;0.6;0.62;0.54;0.6;0.67;0.51;0.41;0.51;0.51;0.54;0.45;0.54;0.78;0.54;0.54;0.89;0.86;0.86;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
g8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.45;0.45;0.14;0.81;0.85;0.94;0.89;0.41;0.32;0.4;0.51;0.3;0.4;0.41;0.81;0.81;0.91;0.91;0.9;0.8;0.9;1.2;0.9;0.9;1.28;1.27;1.27;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
g9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32;0.32;0;0.72;0.77;0.87;0.81;0.41;0.32;0.42;0.51;0.33;0.42;0.46;0.72;0.7;0.8;0.8;0.81;0.71;0.81;1.06;0.81;0.81;1.14;1.13;1.13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
g10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32;0.51;0.54;0.67;0.6;0.54;0.47;0.6;0.62;0.54;0.6;0.67;0.51;0.41;0.51;0.51;0.54;0.45;0.54;0.78;0.54;0.54;0.89;0.86;0.86;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
g11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32;0.51;0.54;0.67;0.6;0.54;0.47;0.6;0.62;0.54;0.6;0.67;0.51;0.41;0.51;0.51;0.54;0.45;0.54;0.78;0.54;0.54;0.89;0.86;0.86;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
g12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.72;0.77;0.87;0.81;0.41;0.32;0.42;0.51;0.33;0.42;0.46;0.72;0.7;0.8;0.8;0.81;0.71;0.81;1.06;0.81;0.81;1.14;1.13;1.13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
a1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0.17;0.14;0.61;0.62;0.71;0.62;0.71;0.71;0.81;0;0.41;0.45;0.45;0.46;0.42;0.46;0.83;0.46;0.46;0.99;0.92;0.92;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
a2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.1;0.71;0.7;0.81;0.73;0.8;0.81;0.91;0.17;0.32;0.33;0.33;0.32;0.3;0.32;0.86;0.32;0.32;1.04;0.95;0.95;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
a3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.71;0.73;0.81;0.7;0.82;0.81;0.91;0.17;0.51;0.52;0.52;0.51;0.5;0.51;0.95;0.51;0.51;1.12;1.03;1.03;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81
a4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;0.71;0.8;0.71;0.81;0.8;0.9;0.14;0.41;0.42;0.42;0.41;0.4;0.41;0.9;0.41;0.41;1.08;0.99;0.99;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
a5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.14;0.1;0.2;0.61;0.81;0.9;0.9;0.89;0.81;0.89;1.2;0.89;0.89;1.28;1.27;1.27;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
a6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.2;0.1;0.14;0.22;0.62;0.77;0.86;0.86;0.85;0.76;0.85;1.17;0.85;0.85;1.26;1.24;1.24;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66
a7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.1;0;0.1;0.71;0.9;0.99;0.99;0.98;0.89;0.98;1.27;0.98;0.98;1.34;1.33;1.33;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
